TEAM,GP,Win_pct,PD,PF,PA
Golden State,9,0.667,8.3,120,111.7
Brooklyn,9,0.333,-5,114.3,119.3
Washington,8,0.5,2.6,113.5,110.9
Indiana,9,0.556,2.1,111.3,109.2
Orlando,9,0.667,4.7,111.3,106.6
Toronto,8,0.625,7,109.3,102.3
LA Clippers,7,0.714,8.9,109,100.1
Minnesota,8,0.625,-4.3,108.8,113.1
Cleveland,9,0.444,-5.2,107.8,113
Philadelphia,9,0.556,-0.9,107.7,108.6
Portland,9,0.556,6.6,107.7,101.1
Phoenix,9,0.444,-9.7,107.3,117
Houston,10,0.7,4.6,107.2,102.6
LA Lakers,9,0.444,-1.5,106.4,107.9
New Orleans,9,0.444,-1.1,106.2,107.3
Denver,9,0.556,1.8,105.8,104
Charlotte,9,0.556,0.9,105.2,104.3
Oklahoma City,8,0.5,8.6,105,96.4
Detroit,9,0.667,3,104.4,101.4
New York,8,0.5,-1.1,104.3,105.4
Milwaukee,9,0.444,-3.1,103.9,107
Miami,8,0.375,-1.6,103.5,105.1
Boston,9,0.778,9,102.8,93.8
Atlanta,9,0.111,-9,101.1,110.1
Memphis,8,0.625,4.1,100.4,96.3
San Antonio,9,0.556,-2,98.6,100.6
Utah,9,0.556,2.1,98.1,96
Dallas,10,0.1,-9.6,97.8,107.4
Sacramento,8,0.125,-12.4,93.1,105.5
Chicago,7,0.286,-6.5,92.1,98.6
